title,slug,shortId,duration,shortDescription,learningObjectives,instructors_0_user,instructors_1_user,instructors_2_user
Cardiac Contractility,cardiac-contractility,HJOliG0Ohe-,1629,This video presents heart contractility and the factors influecing it namely: Heart rate Bowditch/trepp Post extrasystole Stretch Sympathetic system Parasympethetic system Cardiac glycosides (digitalis),[  ],57c6515c1a4f528e46bc4708,,
Preload and Afterload,preload-and-afterload,ByYgiM0u3eb,938,This video presents the concepts of preload and afterload. Both of these concepts are important to understand to assess the performance of the heart. Sarcomere structure function and its relationship to preload and afterload is also discussed. We will also discuss the difference between the passive tension and active tension. Notice that cardiac performance is assessed by: Heart rate Conduction velocity Preload Afterload Contractility,[  ],57c6515c1a4f528e46bc4708,,
Cardiac Cycle,cardiac-cycle,HkclsG0O3gb,2850,This video presents the physiology of the cardiac cycle. \r\nWe will discuss: \r\nDefinition \r\nDuration \r\nElectrical activity of the heart during a cardiac cycle \r\nMechanical changes \r\nPressure changes in the atria ventricles and aorta \r\nVolume changes in heart chambers \r\nHeart sounds \r\nVenous pulse graph,[  ],57c6515c1a4f528e46bc4708,,
Pressure-Volume Loops,pressure-volume-loops,r1oloGAungb,461,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,[  ],57c6515c1a4f528e46bc4708,,
Ejection Fraction and Cardiac Output,ejection-fraction-and-cardiac-output,By3gjGA_2lb,1542,This video presents the cardiac volumes ejection fraction and cardiac output Volumes dicussed are: End diastolic volume End systolic volume Stroke volume,,57c6515c1a4f528e46bc4708,,
Clinical Application of Pressure-Volume Loops,clinical-application-of-pressure-volume-loops,ry6gjz0OngZ,1786,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,[  ],57c6515c1a4f528e46bc4708,,
Measuring Cardiac Output,measuring-cardiac-output,BJRxof0_2g-,1247,This video presents the measurement of the cardiac output using Fick's method. We will also touch upon the doppler and thermodilution.,[  ],57c6515c1a4f528e46bc4708,,
Cardiac and Venous Curves,cardiac-and-venous-curves,SkJbizCdneW,2156,This video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,[  ],57c6515c1a4f528e46bc4708,,
Cardiac and Venous Curves - Review,cardiac-and-venous-curves-review,rkxZjMCOnx-,1397,Review\r\nThis video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,[  ],57c6515c1a4f528e46bc4708,,
Heart Sounds,heart-sounds,HybZiGAd3gW,1910,This video presents normal and abnormal heart sounds. Heart sound posts for auscultation Mechanism of the sound generation Abnormalities that can generate additional heart sounds or change the sounds,[  ],57c6515c1a4f528e46bc4708,,
Introduction to Murmurs,introduction-to-murmurs,BJMbifC_hl-,1085,This video presents the mechanics of the murmur generation and the types of murmurs. Pathologies that give rise to murmurs are handled in the Pathology module.,[  ],57c6515c1a4f528e46bc4708,,
EKG Fundamentals: Measurement (Part 1),ekg-fundamentals-measurement-part-1,HymWjfAd3lZ,1796,Why do we measure cardiac electrical activity (ECG)? Conduction medium of the heart ECG measurement from the body surfaces Properties of the ECG voltmeter ECG Paper Normal ECG,[  ],57c6515c1a4f528e46bc4708,,
EKG Fundamentals: Measurement (Part 2),ekg-fundamentals-measurement-part-2,SkN-ozR_hgb,1663,A healthy individual's standard wave form ECG waves ECG intervals ECG segments Interpretation of the ECG waveform,[  ],57c6515c1a4f528e46bc4708,,
EKG Leads,ekg-leads,ByBZozAOnlb,1572,This video presents the 12 ECG leads and Einthoven's triangle. Leads presented are: 3 Bipolar Limb Leads 3 Unipolar Augmented Leads 6 Chest Leads Earth lead,[  ],57c6515c1a4f528e46bc4708,,
Cardiac Axis Using Isoelectric Lead Method,cardiac-axis-using-isoelectric-lead-method,B1LWsMCu2lb,754,This video presents the isoelectric lead method to determine the cardiac axis. (Digital media video),[  ],57c6515c1a4f528e46bc4708,,
Cardiac Axis Using Quadrant Method,cardiac-axis-using-quadrant-method,rkPZjz0_nlW,741,This video presents the quadrant method to determine the cardiac axis. (Digital media video),[  ],57c6515c1a4f528e46bc4708,,
"(Webinar) EKG Leads and Normal Waveform (Repeat)",webinar-ekg-leads-and-normal-waveform-repeat,rJdWsMCu2eb,5817,,[  ],57c6515c1a4f528e46bc4708,,
"(Webinar) EKG Fundamentals",webinar-ekg-fundamentals,SyKZjMC_2eZ,4591,,[  ],57c6515c1a4f528e46bc4708,,
"(Webinar) Cardiac Axis Determination and its Clinical Significance",webinar-cardiac-axis-determination-and-its-clinical-significance,r19WjM0O3gZ,5388,,[  ],57c6515c1a4f528e46bc4708,,
Liver Function Tests,liver-function-tests,HkiZjf0dnlb,4843,"Dr. Sameer Islam, MD., Gastroenterologist presents:\r\n\r\nGeneral introduction to the Liver Function Tests\r\n\r\nCategories of Liver abnormalities.\r\n\r\n•              Acute hepatitis\r\n\r\n•              Chronic hepatitis\r\n\r\n•              Cholestatic hepatitis\r\n\r\n•              Hyperbillirubinemia\r\n\r\n•              PT/INR and albumin\r\nLiver biopsy and non-invasive testing",[  ],590796c759ecd70004fc2d4d,,
History of Presenting Illness,history-of-presenting-illness,BkhWiz0d3xb,5940,Dr. Ahmed Zaafran presents a talk on the history of presenting illness.\r\n\r\nType: Webinar Recording,[  ],57c651631a4f528e46bc49b6,,
"Antibiotics Overview ",antibiotics-overview,H1TWsGROhg-,3509,Dr. Syed starts the series about the antibiotics' usage. The first lecture in the series presents the following topics about penicillins:\r\n\r\n1. Discovery.\r\n\r\n2. Types.\r\n\r\n3. Mechanism of action.\r\n\r\n4. Coverage of gram positive and negative pathogens by various types.\r\n\r\n5. Pathogen resistance to penicillins.\r\n\r\n6. Penicillin combinations with lavulanic acid etc. to overcome the resistance.\r\n\r\n7. Usage in various infections.,[  ],57c6515c1a4f528e46bc4708,,
Evaluating Anemia,evaluating-anemia,SJC-oMRd3x-,5928,By: Dr. Tabraiz Mohammed\r\nOn June 15th 2016\r\nPresented to the Advanced Practitioners Group,[  ],590796a659ecd70004fc2d4c,,
Drbeen for MSAI students,drbeen-for-msai-students,r1yfoMAOneZ,239,This video helps explain how to use drbeen site for MSAI members.,,57c6515c1a4f528e46bc4708,,
"Vasculature and Perfusion of the Brain ",vasculature-and-perfusion-of-the-brain,HJxfiMRO3gW,2335,Dr. Syed discusses the following topics:\r\ninternal Carotid and its branches:\r\nOphthalmic\r\nAnterior Choroidal\r\nMiddle Cerebral and Lenticulstriate\r\nAnterior Cerebral and Anterior Communicating\r\nposterior Communicating\r\nVerebrobasilar System\r\nVertebral Arteries\r\nAnterior Spinal\r\nPosterior Inferior Cerebellar\r\nBasilar\r\nAnterior Inferior Cerebellar\r\nPontine\r\nSuperior Cerebellar\r\nPosterior Cerebellar\r\n\r\nHigh yield clinical presentations of the strokes involving these arteries.,[  ],57c6515c1a4f528e46bc4708,,
Anatomical Review of the Cerebellum,anatomical-review-of-the-cerebellum,rkWMjzRdnl-,795,"This video presents the structure, function, and neuronal loops of the Cerebellum.",,57c6515c1a4f528e46bc4708,,
Cranial Nerves (Clinical Cases),cranial-nerves-clinical-cases,HyfMozCO3eW,3215,,[  ],57c6515c1a4f528e46bc4708,,
Nerve Fiber Types,nerve-fiber-types,SymfizRu2xZ,1494,"This video presents the types of motor, sensory, and interneurons.",[  ],57c6515c1a4f528e46bc4708,,
Homunculi,homunculi,rJ4zsM0_hlW,1039,This video presents the representation of the body in various nuclei of the brain.,[  ],57c6515c1a4f528e46bc4708,,
Blood Supply of the Brain,blood-supply-of-the-brain,S1rGjf0u2xW,1557,This video presents the blood supply of the brain with the clinical concepts important for practice and exams.,,57c6515c1a4f528e46bc4708,,
Spinal Cord Arrangement,spinal-cord-arrangement,ryLzizC_neb,2018,This video presents the principle tracts in the spinal cord and their anatomical arrangement.,[  ],57c6515c1a4f528e46bc4708,,
Dorsal Column Tracts,dorsal-column-tracts,HJvGizRdne-,2179,This video presents one of the most important sensory tracts. The dorsal column or fasciculus gracilis and fasciculus cuneatus.,[  ],57c6515c1a4f528e46bc4708,,
Corticotectal Tracts,corticotectal-tracts,By_fiM0d3gb,785,This video presents the most important motor tract - the Pyramidal Tract or Corticospinal Tract.,[  ],57c6515c1a4f528e46bc4708,,
Corticotectal Tract Introduction,corticotectal-tract-introduction,SkYfsGCu3gW,1823,This video presents the corticonuclear tract. This is an extrapyramidal tract that helps with motor activity.,[  ],57c6515c1a4f528e46bc4708,,
Corticospinal or Motor Tract,corticospinal-or-motor-tract,BJcGoz0uhe-,3288,This video presents the most important motor tract - the Pyramidal Tract or Corticospinal Tract.,,57c6515c1a4f528e46bc4708,,
Spinothalamic Tracts,spinothalamic-tracts,ryszif0Onl-,3134,This video presents the anterior and lateral spinothalamic tracts.,[  ],57c6515c1a4f528e46bc4708,,
Ventricles of the Brain,ventricles-of-the-brain,SkhzoG0dhgZ,3734,"Ventricles of the Brain are critical to understand well from clinical and USMLE point of views. One must know ventricles before a good grasp of the CSF, Meningitis, and some of the Degenerative diseases of the brain can be understood.",[  ],57c6515c1a4f528e46bc4708,,
Cerebellum,cerebellum,BkTGofCu3eb,4085,"This video presents the structure, function, and neuronal loops of the Cerebellum.",[  ],57c6515c1a4f528e46bc4708,,
Cerebellum Review,cerebellum-review,HyAMjfRu3lW,795,"Review\nThis video presents the structure, function, and neuronal loops of the Cerebellum.",[  ],57c6515c1a4f528e46bc4708,,
Basal Ganglia,basal-ganglia,S1JXsGR_3eb,4937,This video presents the neuroanatomy and neuropathology of the Basal Ganglia.,[  ],57c6515c1a4f528e46bc4708,,
Hemisection of the Spinal Cord,hemisection-of-the-spinal-cord,Hkx7ozAunxW,2384,Brown Sequard Syndrome\n\nThis video presents the hemisection of the spinal cord. This lesion is also called Brown Seqard Syndrome.,[  ],57c6515c1a4f528e46bc4708,,
Lesions of the Spinal Cord,lesions-of-the-spinal-cord,Byb7sGRO2xb,2808,This video presents the lesions of the spinal cord.,[  ],57c6515c1a4f528e46bc4708,,
A Differential Diagnosis of Acute Chest Pain,a-differential-diagnosis-of-acute-chest-pain,r1GmofCO2lZ,1219,"Ahmed Zaafran MD presents clinical aspects of the chest pain including:\r\n\r\nHow to approach the chief complaint of chest pain?\r\n\r\nHistory and physical examination of a patient with the chest pain.\r\n\r\nDifferential diagnosis of the chest pain.\r\n\r\nEKG considerations.\r\n\r\nLab tests, Troponin levels and CK-MB levels.\r\n\r\nCharacteristics of the cardiac and non-cardiac chest pains.",[  ],57c651631a4f528e46bc49b6,,
Primary Tuberculosis,primary-tuberculosis,HJQmszCO3eW,2279,This video presents following topics about tuberculosis: Epidemiology Etiology Pathogenesis Primary Tuberculosis Morphology Clinical,[  ],57c6515c1a4f528e46bc4708,,
Secondary Tuberculosis,secondary-tuberculosis,BJV7ofCdheW,737,This video presents following topics about tuberculosis: Epidemiology Etiology Pathogenesis Secondary Tuberculosis Morphology Clinical,[  ],57c6515c1a4f528e46bc4708,,
Perioperative Cardiac Complications,perioperative-cardiac-complications,HJS7oz0uhlW,4063,"In the perioperative cardiac complications lecture, we describe multiple cardiac and non-cardiac complications of cardiac surgery; an anatomic and organ system approach is taken to describe the cardiac and non-cardiac issues, respectively. A special emphasis is placed on heparin-induced thrombocytopenia as well as intra-aortic balloon pumps. After this lecture, learners should feel significantly more comfortable in the cardio-vascular ICU.",[  ],57c6515d1a4f528e46bc47b2,,
Abdominal Compartment Syndrome,abdominal-compartment-syndrome,rk8Qoz0dheZ,3075,"In this lecture, we review the pathophysiology of abdominal compartment syndrome and outline how it affects multiple organ systems. The clinical presentation and management of this medical emergency are described.",,57c6515d1a4f528e46bc47b2,,
Lower Respiratory Tract Complications,lower-respiratory-tract-complications,BJDXof0u2eW,2721,Dr. Alikhan discusses the diagnosis and management of:\r\n1. Bronchitis\r\n2. Pneumonia,[  ],5907970c59ecd70004fc2d4f,,
Leukocyte Disorders,leukocyte-disorders,SkdmsGRdhgb,3569,Dr. Tabraiz Mohammed discusses functional and quantitative disorders of the immune system.\r\nImmune reactions are also discussed.,[  ],590796a659ecd70004fc2d4c,,
Understanding an EKG Wave,understanding-an-ekg-wave,ByKmsfAOnxW,629,Dr. Syed presents the first chapter in the series of the EKG Interpretation lectures. This chapter contains:\r\n\r\n1. EKG waves.\r\n\r\n2. EKG segments.\r\n\r\n3. EKG intervals.\r\n\r\n4. Various shapes of the QRS complex and how to articulate them.\r\n\r\n5. EKG paper properties.,[  ],57c6515c1a4f528e46bc4708,,
Utilizing EKG Leads to Represent Cardiac Surfaces,utilizing-ekg-leads-to-represent-cardiac-surfaces,Bk97jGAunlZ,616,Session 2 of the EKG interpretation.\r\n\r\nDr. Syed presents:\r\n\r\n1. EKG leads setup.\r\n\r\n2. Surfaces that the EKG leads look at.\r\n\r\n3. Properties of QT interval.\r\n\r\n4. QRS progression.,[  ],57c6515c1a4f528e46bc4708,,
Hypertrophy and Enlargement of the Heart,hypertrophy-and-enlargement-of-the-heart,SyiXif0_nlb,2099,"Dr. Syed presents:\r\n\r\nThe terminology used for the cardiac chamber enlargement.\r\n\r\nPrinciples of the EKG changes when chamber enlargement is present.\r\n\r\nRight atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nRight ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nBoth ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.",[  ],57c6515c1a4f528e46bc4708,,
"(Webinar) Wound Care and Management",webinar-wound-care-and-management,S1hmoG0ung-,8592,"By Hatem Abou-Sayed\r\n\r\nMD, MBA, FACS\r\n\r\nPlastic Surgeon",[  ],5907968859ecd70004fc2d4b,,
Huntington's Chorea,huntingtons-chorea,ryTmjfAO2xZ,2014,"This video presents Huntington's disease. A progressive, debilitating, neurodegenrative disease.",[  ],57c6515c1a4f528e46bc4708,,
"(Webinar) Managing Type II Diabetes Mellitus (Part 4) - podcast",webinar-managing-type-ii-diabetes-mellitus-part-4-podcast,By0QofC_3gZ,2560,,,57c6515c1a4f528e46bc4708,,
Managing Type II Diabetes Mellitus part 3 disabled,managing-type-ii-diabetes-mellitus-part-3-disabled,S11NiGA_ngZ,2386,"Dr. Syed presents:\r\n\r\n*The role of FAT cells in modifying FFA levels, Liponectin levels, and Resistin levels. \r\n*Insulin resistance due to the substances mentioned above.\r\n*Burnout of the beta cells after the consistent elevation of glucose due to insulin resistance.",,57c6515c1a4f528e46bc4708,,
Managing Diabetes Mellitus Type II (Part 4),managing-diabetes-mellitus-type-ii-part-4,SJgNozRd3eZ,2269,"Dr. Syed presents the first session on the management of type 2 diabetes mellitus. Following topics are covered:\r\n*Sources of glucose and contribution from carbs, fats, and proteins.\r\n*Is it useful to go to protein high or fat high diets? Or is it useful to cut carbs?\r\n*What is the effect of combining carbs with proteins and carbs with fats to the glucose peak that occurs after a meal? Does it matter from a therapeutic point of view?\r\n*What is the final common pathway of energy production from the three macro classes of the food - namely, proteins, fats, and carbs.",,57c6515c1a4f528e46bc4708,,
Dead Spaces and Ventilation Rates,dead-spaces-and-ventilation-rates,Sy-VjfC_neb,2443,This video presents: Anatomical and Physiological Dead Spaces Composition of gases in the respiratory zones Composition of gases at the end of inspiration and expiration Minute ventilation rate Alveolar ventilation rate,[  ],57c6515c1a4f528e46bc4708,,
Lung Capacities and Volumes,lung-capacities-and-volumes,S1G4sG0_hlW,1317,This video presents: Tidal Volum (TD) Insipratory Reserve Volume (IRV) Expiratory Reserve Volume (ERV) Residual Volume (RV) Inspiratory Capacity (IC) Functional Residual Capacity (FRC) Vital Capacity (VC) Total Lung Capacity (TLC),[  ],57c6515c1a4f528e46bc4708,,
Abnormal Breathing Patterns,abnormal-breathing-patterns,H1mEsMRu3gb,433,This brief video presents: Apneustic breathing pattern Biot/Ataxic breathing pattern Cheyne Stoke breathing pattern Kussmal breathing pattern,[  ],57c6515c1a4f528e46bc4708,,
Abnormal Pulmonary Breathing Patterns,abnormal-pulmonary-breathing-patterns,BJN4iGA_heZ,433,This brief video presents: Apneustic breathing pattern Biot/Ataxic breathing pattern Cheyne Stoke breathing pattern Kussmal breathing pattern,,57c6515c1a4f528e46bc4708,,
Quiet Breathing Cycle,quiet-breathing-cycle,S1HEiMCO3x-,784,This video presents: Pressure dynamics in the alveoli and pleura during the restful breathing cycle. Pleural pressures are discussed at: a) Restful state (breath held) b) Inspiration c) Expiration,[  ],57c6515c1a4f528e46bc4708,,
Muscles of Breathing,muscles-of-breathing,ByUEsGCd2e-,2023,This brief video presents: Quite breathing Chest wall mechanics including: Pump handle movement Bucket handle movement Muscles of quite and forced inspiration Muscles of quite and forced expiration,[  ],57c6515c1a4f528e46bc4708,,
Forces on the Lung System,forces-on-the-lung-system,BJDVozCdnxW,2397,This video presents: Lung Mechanics. Following topics are discussed: Lung environment Inward or recoil forces Outward or expansile forces Terminology to express various pressures Laplaces law Atelactasis Special case of premature babies,[  ],57c6515c1a4f528e46bc4708,,
Forces on the Lung System Review,forces-on-the-lung-system-review,By_EiGROhl-,988,This video presents: Lung Mechanics. Following topics are discussed: Lung environment Inward or recoil forces Outward or expansile forces Terminology to express various pressures Laplaces law Atelactasis Special case of premature babies,[  ],57c6515c1a4f528e46bc4708,,
Pneumothorax,pneumothorax,rkKEsf0_hlW,771,This video presents Pneumothorax Following topics are discussed: Pleural cavity formation Simple Pnemothorax Tension Pneumothorax,[  ],57c6515c1a4f528e46bc4708,,
Positive Pressure Ventilation,positive-pressure-ventilation,S15VsfRdhlZ,1005,This video presents: Postivie Pressure Ventilation (PPV) Positive End Expiratory Pressure Ventilation (PEEPV) Advantages and disadvantages of these methods,[  ],57c6515c1a4f528e46bc4708,,
Lung Compliance,lung-compliance,HJsNoGAu2xZ,1967,This video presents: Chest wall compliance Lung tissue compliance Combined compliance of the chest wall and lung tissue Pathological conditions that change compliance.,[  ],57c6515c1a4f528e46bc4708,,
Pulmonary Pressure and Flow Resistance,pulmonary-pressure-and-flow-resistance,r1nEofC_nlW,1592,"This video presents the relationship of the flow, pressure, and resistance in the lung airways.",,57c6515c1a4f528e46bc4708,,
Introduction to Gas Exchange,introduction-to-gas-exchange,BJaNizRd3eb,2657,This video discusses: Atmospheric gas pressures Water vapor pressure and its effect on the atmospheric pressure Pressure changes during inspiration Composition of the exhaled gases Factors affecting partial pressure of the oxygen Factors affecting partial pressure of the carbon dioxide,[  ],57c6515c1a4f528e46bc4708,,
Fick's Principle,ficks-principle,H1AEoG0_3e-,1249,This video presents: Ficks law of diffusion of gases Ficks equation Calcuating oxygen diffusion rate Assessing respiratory interface health,,57c6515c1a4f528e46bc4708,,
Transport of Gases,transport-of-gases,BJJBiGRu2g-,1505,This video discusses: Gas pressure gradient across respiratory membrane Causes of the pressure gradient Capillary diffusion dynamics Adaptation during the exercise,,57c6515c1a4f528e46bc4708,,
Oxygen Dissociation Curve,oxygen-dissociation-curve,BJlrsf0O2l-,2483,This video discusses: Structure of the Hemoglobin Hb dissociation curve Factors affecting the dissociation curve Oxygen buffering by Hb,,57c6515c1a4f528e46bc4708,,
CO2 Transport,co2-transport,HyWHiMRO2x-,905,This video discusses: Total volume of the carbon dioxide transport to the lungs Three forms of the carbon dioxide transport Chloride shift Carbonic anhydrase Carbon dioxide pressure gradients in the tissue and lungs,,57c6515c1a4f528e46bc4708,,
Bohr Effect,bohr-effect,SJfHiG0Ohx-,505,This video discusses Bohr Effect Increased carbon dioxide pressure in the tissue helps unload oxygen in the tissues. This is opposite to the Haldene effect where increased oxygen pressure helps unload carbon dioxide in the lungs.,,57c6515c1a4f528e46bc4708,,
Ventilation/Perfusion (V/Q) Ratios,ventilationperfusion-vq-ratios,SkXBofAd3lW,1783,This video discusses: Alveolar ventilation Blood flow through lungs Calculating the ratio Evaluating the V/Q ratio Generalizations,,57c6515c1a4f528e46bc4708,,
Ventilation Perfusion Ratio (V/Q),ventilation-perfusion-ratio-vq,H1NHoGA_nlb,1783,This video discusses: Alveolar ventilation Blood flow through lungs Calculating the ratio Evaluating the V/Q ratio Generalizations,,57c6515c1a4f528e46bc4708,,
