title,URL Link,Description,Objectives,Lecture Duration (hh:mm:ss),CME Credits,Teacher Name
Neutrophils (part 5),https://members.drbeen.com/view/neutrophils-part-5/B13UoG0O2lZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Neutrophils (part 6),https://members.drbeen.com/view/neutrophils-part-6/B1aLiMRu2e-,,,00:06:24,0.5,"Mobeen Syed, MD"
Neutrophils (part 7),https://members.drbeen.com/view/neutrophils-part-7/SyRUizAu2gZ,,,00:13:25,0.5,"Mobeen Syed, MD"
Neutrophils (part 8),https://members.drbeen.com/view/neutrophils-part-8/SJkwofRO2gb,,,00:09:59,0.5,"Mobeen Syed, MD"
Neutrophils (part 9),https://members.drbeen.com/view/neutrophils-part-9/B1lwsfRuhlZ,,,00:06:29,0.5,"Mobeen Syed, MD"
Neutrophils (part 10),https://members.drbeen.com/view/neutrophils-part-10/BJbwsfRO3xW,,,00:09:59,0.5,"Mobeen Syed, MD"
Neutrophils (part 11),https://members.drbeen.com/view/neutrophils-part-11/r1GviGAunx-,,,00:06:31,0.5,"Mobeen Syed, MD"
Neutrophils (part 12),https://members.drbeen.com/view/neutrophils-part-12/SJXDiMC_3xZ,,,00:03:15,0.5,"Mobeen Syed, MD"
Neutrophils (part 13),https://members.drbeen.com/view/neutrophils-part-13/HJNDoGC_hlb,,,00:12:43,0.5,"Mobeen Syed, MD"
Neutrophils (part 14),https://members.drbeen.com/view/neutrophils-part-14/Byrwiz0Onl-,,,00:14:45,0.5,"Mobeen Syed, MD"
Neutrophils (part 15),https://members.drbeen.com/view/neutrophils-part-15/HJIwoGCOhlb,,,00:14:20,0.5,"Mobeen Syed, MD"
Neutrophils (part 16),https://members.drbeen.com/view/neutrophils-part-16/rJwwoMR_hxb,,,00:14:23,0.5,"Mobeen Syed, MD"
Neutrophils (part 17),https://members.drbeen.com/view/neutrophils-part-17/HyuPszAdngb,,,00:09:52,0.5,"Mobeen Syed, MD"
Neutrophils (part 18),https://members.drbeen.com/view/neutrophils-part-18/rktviG0dhl-,,,00:13:12,0.5,"Mobeen Syed, MD"
Neutrophils (part 19),https://members.drbeen.com/view/neutrophils-part-19/rJ9PoGROhgW,,,00:03:25,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 1),https://members.drbeen.com/view/mast-and-basal-cells-part-1/B1ivszR_neW,,,00:13:42,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 2),https://members.drbeen.com/view/mast-and-basal-cells-part-2/r1hPiGCOhxZ,,,00:14:56,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 3),https://members.drbeen.com/view/mast-and-basal-cells-part-3/ry6viGROhgW,,,00:10:40,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 4),https://members.drbeen.com/view/mast-and-basal-cells-part-4/ByAwjGRO3xZ,,,00:10:43,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 5),https://members.drbeen.com/view/mast-and-basal-cells-part-5/ryyOjfRO3lZ,,,00:05:12,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 6),https://members.drbeen.com/view/mast-and-basal-cells-part-6/SkguszA_hxW,,,00:02:07,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 7),https://members.drbeen.com/view/mast-and-basal-cells-part-7/SJW_ofC_neW,,,00:12:09,0.5,"Mobeen Syed, MD"
Mast and Basal Cells (part 8),https://members.drbeen.com/view/mast-and-basal-cells-part-8/HyzujzRuhl-,,,00:04:38,0.5,"Mobeen Syed, MD"
Macrophages (part 1),https://members.drbeen.com/view/macrophages-part-1/S1XuifCO2eb,,,00:10:01,0.5,"Mobeen Syed, MD"
Macrophages (part 2),https://members.drbeen.com/view/macrophages-part-2/ByN_ofCunl-,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 3),https://members.drbeen.com/view/macrophages-part-3/HySdoGAO2e-,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 4),https://members.drbeen.com/view/macrophages-part-4/Sk8uofRd3gW,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 5),https://members.drbeen.com/view/macrophages-part-5/r1DOifA_hl-,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 6),https://members.drbeen.com/view/macrophages-part-6/SJddjf0_nlW,,,00:09:03,0.5,"Mobeen Syed, MD"
Macrophage (Part 7),https://members.drbeen.com/view/macrophage-part-7/B1KOsz0_neW,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 8),https://members.drbeen.com/view/macrophages-part-8/S19OiG0u3e-,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 9),https://members.drbeen.com/view/macrophages-part-9/H1i_jM0dhg-,,,00:09:59,0.5,"Mobeen Syed, MD"
Macrophages (part 10),https://members.drbeen.com/view/macrophages-part-10/HJ2dszAungZ,,,00:08:13,0.5,"Mobeen Syed, MD"
T Cells (part 1),https://members.drbeen.com/view/t-cells-part-1/Sypdjz0d3gZ,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells (part 2),https://members.drbeen.com/view/t-cells-part-2/H1COizRungW,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells (part 3),https://members.drbeen.com/view/t-cells-part-3/Hkytiz0d3lW,,,00:07:04,0.5,"Mobeen Syed, MD"
T Cells (part 4),https://members.drbeen.com/view/t-cells-part-4/rkxYszR_ngZ,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells (part 5),https://members.drbeen.com/view/t-cells-part-5/rJWtjzCdng-,,,00:00:51,0.5,"Mobeen Syed, MD"
T Cells (part 6),https://members.drbeen.com/view/t-cells-part-6/S1zYjGR_3eZ,,,00:05:39,0.5,"Mobeen Syed, MD"
T Cells (part 7),https://members.drbeen.com/view/t-cells-part-7/r17tozRdne-,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells (part 8),https://members.drbeen.com/view/t-cells-part-8/SkEtsz0dnlZ,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells (part 10),https://members.drbeen.com/view/t-cells-part-10/H1HKifAO2x-,,,00:09:59,0.5,"Mobeen Syed, MD"
T Cells Maturation and Selection (part 4),https://members.drbeen.com/view/t-cells-maturation-and-selection-part-4/Sk8KiMCd3xb,,,00:09:44,0.5,"Mobeen Syed, MD"
T Cells Maturation and Selection (part 1),https://members.drbeen.com/view/t-cells-maturation-and-selection-part-1/HkDFiM0_3lb,,,00:07:21,0.5,"Mobeen Syed, MD"
T Cells Maturation and Selection (part 2),https://members.drbeen.com/view/t-cells-maturation-and-selection-part-2/SJdKiz0d2eb,,,00:12:26,0.5,"Mobeen Syed, MD"
T Cells Maturation and Selection (part 3),https://members.drbeen.com/view/t-cells-maturation-and-selection-part-3/HJFYoG0OhgZ,,,00:16:48,0.75,"Mobeen Syed, MD"
T Cell Receptors and Immunoglobulins (part 1),https://members.drbeen.com/view/t-cell-receptors-and-immunoglobulins-part-1/Bk5tjMR_heZ,,,00:17:51,0.75,"Mobeen Syed, MD"
T Cell Receptors and Immunoglobulins (part 2),https://members.drbeen.com/view/t-cell-receptors-and-immunoglobulins-part-2/BkoFsfAd3eZ,,,00:14:59,0.5,"Mobeen Syed, MD"
T Cell Receptors and Immunoglobulins (part 3),https://members.drbeen.com/view/t-cell-receptors-and-immunoglobulins-part-3/S12FofRdhxb,,,00:17:02,0.75,"Mobeen Syed, MD"
T Cell Receptors and Immunoglobulins (part 4),https://members.drbeen.com/view/t-cell-receptors-and-immunoglobulins-part-4/r1TKiz0_hgb,,,00:07:30,0.5,"Mobeen Syed, MD"
T Cell Functions (part 1),https://members.drbeen.com/view/t-cell-functions-part-1/r1CKozRd3eb,,,00:14:53,0.5,"Mobeen Syed, MD"
T Cell Functions (part 2),https://members.drbeen.com/view/t-cell-functions-part-2/HkkcsfRO3xW,,,00:14:22,0.5,"Mobeen Syed, MD"
T Cell Functions (part 3),https://members.drbeen.com/view/t-cell-functions-part-3/HkgcoM0u2xb,,,00:14:39,0.5,"Mobeen Syed, MD"
T Cell Functions (part 4),https://members.drbeen.com/view/t-cell-functions-part-4/HJ-qjMR_hxZ,,,00:14:43,0.5,"Mobeen Syed, MD"
T Cell Functions (part 5),https://members.drbeen.com/view/t-cell-functions-part-5/HJG9sGROhx-,,,00:07:34,0.5,"Mobeen Syed, MD"
T Cell Functions (part 6),https://members.drbeen.com/view/t-cell-functions-part-6/BkmqiMA_3gZ,,,00:08:22,0.5,"Mobeen Syed, MD"
B Cell Functions (part 1),https://members.drbeen.com/view/b-cell-functions-part-1/rJN9ifCO3e-,,,00:09:55,0.5,"Mobeen Syed, MD"
B Cell Functions (part 3),https://members.drbeen.com/view/b-cell-functions-part-3/BkLcjf0O2x-,,,00:15:07,0.75,"Mobeen Syed, MD"
B Cell Functions (part 4),https://members.drbeen.com/view/b-cell-functions-part-4/ryD9izRO3eW,,,00:07:07,0.5,"Mobeen Syed, MD"
B Cell Functions (part 5),https://members.drbeen.com/view/b-cell-functions-part-5/ryd5sGCuhxW,,,00:14:29,0.5,"Mobeen Syed, MD"
